EntrezID	GeneSymbol	Zuber_Essential_new	GeneAliases	Chromosom
5500	PPP1CB	essential_core	HEL-S-80p|PP-1B|PP1B|PP1beta|PPP1CD	2p23.2
5514	PPP1R10	essential_core	CAT53|FB19|PNUTS|PP1R10|R111|p99	6p21.33
5531	PPP4C	essential_core	PP-X|PP4|PP4C|PPH3|PPP4|PPX	16p11.2
5557	PRIM1	essential_core	p49	12q13.3
5682	PSMA1	essential_core	HC2|HEL-S-275|NU|PROS30	11p15.2
5683	PSMA2	essential_core	HC3|MU|PMSA2|PSC2	7p14.1
5684	PSMA3	essential_core	HC8|PSC3	14q23.1
5686	PSMA5	essential_core	PSC5|ZETA	1p13.3
5688	PSMA7	essential_core	C6|HEL-S-276|HSPC|RC6-1|XAPC7	20q13.33
5689	PSMB1	essential_core	HC5|PMSB1|PSC5	6q27
5690	PSMB2	essential_core	HC7-I	1p34.3
5691	PSMB3	essential_core	HC10-II	17q12
5692	PSMB4	essential_core	HN3|HsN3|PROS-26|PROS26	1q21.3
5695	PSMB7	essential_core	Z	9q33.3
5700	PSMC1	essential_core	P26S4|S4|p56	14q32.11
5702	PSMC3	essential_core	TBP1	11p11.2
5704	PSMC4	essential_core	MIP224|RPT3|S6|TBP-7|TBP7	19q13.2
5705	PSMC5	essential_core	S8|SUG-1|SUG1|TBP10|TRIP1|p45|p45/SUG	17q23.3
5706	PSMC6	essential_core	CADP44|HEL-S-73|P44|SUG2|p42	14q22.1
5707	PSMD1	essential_core	P112|Rpn2|S1	2q37.1
5708	PSMD2	essential_core	P97|RPN1|S2|TRAP2	3q27.1
5709	PSMD3	essential_core	P58|RPN3|S3|TSTA2	17q21.1
5710	PSMD4	essential_core	AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5	1q21.3
5713	PSMD7	essential_core	MOV34|P40|Rpn8|S12	16q23.1
5714	PSMD8	essential_core	HEL-S-91n|HIP6|HYPF|Nin1p|Rpn12|S14|p31	19q13.2
5718	PSMD12	essential_core	Rpn5|p55	17q24.2
5822	PWP2	essential_core	EHOC-17|PWP2H|UTP1	21q22.3
5859	QARS	essential_core	GLNRS|MSCCA|PRO2195	3p21.31
5876	RABGGTB	essential_core	GGTB	1p31.1
5888	RAD51	essential_core	BRCC5|FANCR|HRAD51|HsRad51|HsT16930|MRMV2|RAD51A|RECA	15q15.1
5901	RAN	essential_core	ARA24|Gsp1|TC4	12q24.33
5905	RANGAP1	essential_core	Fug1|RANGAP|SD	22q13.2
5928	RBBP4	essential_core	NURF55|RBAP48|lin-53	1p35.1
5929	RBBP5	essential_core	RBQ3|SWD1	1q32.1
5930	RBBP6	essential_core	MY038|P2P-R|PACT|RBQ-1|SNAMA	16p12.1
5976	UPF1	essential_core	HUPF1|NORF1|RENT1|pNORF1|smg-2	19p13.11
5982	RFC2	essential_core	RFC40	7q11.23
5983	RFC3	essential_core	RFC38	13q13.2
5984	RFC4	essential_core	A1|RFC37	3q27.3
5985	RFC5	essential_core	RFC36	12q24.23
6117	RPA1	essential_core	HSSB|MST075|REPA1|RF-A|RP-A|RPA70	17p13.3
6118	RPA2	essential_core	REPA2|RP-A p32|RP-A p34|RPA32	1p35.3
6122	RPL3	essential_core	ASC-1|L3|TARBP-B	22q13.1
6124	RPL4	essential_core	L4	15q22.31
6125	RPL5	essential_core	DBA6|L5|MSTP030|PPP1R135	1p22.1
6128	RPL6	essential_core	L6|SHUJUN-2|TAXREB107|TXREB1	12q24.13
6130	RPL7A	essential_core	L7A|SURF3|TRUP	9q34.2
6133	RPL9	essential_core	L9|NPC-A-16	4p14
6135	RPL11	essential_core	DBA7|GIG34|L11	1p36.11
6136	RPL12	essential_core	L12	9q33.3
6137	RPL13	essential_core	BBC1|D16S444E|D16S44E|L13	16q24.3|17p11.2
6138	RPL15	essential_core	DBA12|EC45|L15|RPL10|RPLY10|RPYL10	3p24.2
6139	RPL17	essential_core	L17|PD-1|RPL23	18q21.1
6141	RPL18	essential_core	L18	19q13.33
6142	RPL18A	essential_core	L18A	19p13.11
6143	RPL19	essential_core	L19	17q12
